GENE,CHR,START,STOP,NSNPS,NPARAM,N,ZSTAT,P,Gene.name
ENSG00000207019,18,28925325,28925430,8,4,352813,0.93915,0.17383,RNU6-167P
ENSG00000253574,8,140923482,140928864,27,6,330244,0.93915,0.17383,RP11-284H18.1
ENSG00000279503,9,92920310,92920928,230,60,323974,0.93911,0.17384,NA
ENSG00000131669,9,95883771,95896570,169,31,300058,0.93904,0.17385,NINJ1
ENSG00000163249,2,208576264,208620898,192,23,335656,0.93895,0.17388,CCNYL1
ENSG00000152332,1,162467041,162499419,18,4,328582,0.9389,0.17389,UHMK1
ENSG00000256717,11,115530376,115713864,103,21,320174,0.93889,0.17389,AP000797.3
ENSG00000235763,10,13146574,13146793,9,2,250587,0.93867,0.17395,SNRPGP5
ENSG00000251367,5,108803054,108803653,10,4,348149,0.93862,0.17396,RP11-231G15.2
ENSG00000101474,20,24943561,24973615,236,37,318072,0.93848,0.174,APMAP
ENSG00000162695,1,101361632,101447309,227,41,336844,0.93846,0.174,SLC30A7
ENSG00000281772,2,148819723,148820146,7,2,355870,0.93847,0.174,NA
ENSG00000021645,14,78636716,80334633,162,56,333406,0.93844,0.17401,NRXN3
ENSG00000279347,8,120850976,120852625,7,3,305801,0.93842,0.17401,NA
ENSG00000095564,10,93683526,93790082,233,41,331397,0.9384,0.17402,BTAF1
ENSG00000118094,11,118528026,118550382,118,28,307312,0.93828,0.17405,TREH
ENSG00000229639,1,69898938,69901092,35,4,339420,0.93803,0.17411,RP3-380B4.1
ENSG00000266611,13,52126725,52126803,3,2,356227,0.93798,0.17413,MIR4703
ENSG00000239197,15,92960777,92960919,70,11,336037,0.93793,0.17414,snoU109
ENSG00000258312,12,98506792,98686223,3,1,333508,0.93785,0.17416,RP11-690J15.1
ENSG00000211835,14,22948510,22948571,7,2,354344,0.93778,0.17418,TRAJ56
ENSG00000257802,12,72243008,72244208,5,3,340272,0.93778,0.17418,MRS2P2
ENSG00000151491,12,15773092,15942510,39,8,334553,0.93763,0.17422,EPS8
ENSG00000214029,12,133683403,133707059,52,8,339427,0.93763,0.17422,ZNF891
ENSG00000222582,4,155708270,155708430,5,2,261442,0.93764,0.17422,RNU2-66P
ENSG00000132485,1,71528974,71546980,87,25,350090,0.93748,0.17426,ZRANB2
ENSG00000274281,15,39143507,39145633,13,5,280532,0.93742,0.17427,NA
ENSG00000221525,14,101509314,101509399,8,4,282967,0.93727,0.17431,MIR1185-1
ENSG00000167967,16,2273567,2285743,9,5,253143,0.93718,0.17433,E4F1
ENSG00000165799,14,21510385,21512392,10,4,304959,0.93692,0.1744,RNASE7
ENSG00000251821,4,128813146,128813237,1,1,65360,0.93692,0.1744,RNU6-583P
ENSG00000176299,14,20248401,20249516,69,10,348035,0.9369,0.17441,OR4M1
ENSG00000267686,18,57792265,57828428,6,3,334319,0.9368,0.17443,RP11-795H16.3
ENSG00000259340,15,97094611,97094747,5,2,305144,0.93662,0.17448,CTD-2027G2.1
ENSG00000199697,17,60761266,60761371,7,2,332169,0.93648,0.17451,RNU6-446P
ENSG00000264539,13,115009980,115010036,5,2,354968,0.93642,0.17453,MIR548AR
ENSG00000228723,3,9234177,9236137,9,3,356165,0.93631,0.17456,SRGAP3-AS2
ENSG00000233300,21,28739333,28740266,17,1,357002,0.93627,0.17457,EIF4A1P1
ENSG00000241286,12,111279342,111280191,16,7,314000,0.93617,0.17459,RPL29P25
ENSG00000264146,3,159540401,159540484,84,21,330550,0.9362,0.17459,AC021654.1
ENSG00000273111,19,42341148,42348760,5,2,226399,0.93618,0.17459,LYPD4
ENSG00000243829,19,50222755,50223338,9,2,343428,0.93613,0.1746,CTB-33G10.1
ENSG00000227205,1,120395939,120396371,66,21,324975,0.93612,0.17461,PFN1P9
ENSG00000259221,15,47651627,47688929,8,3,319806,0.93608,0.17461,CTD-2050N2.1
ENSG00000132912,5,150088002,150138671,177,39,333266,0.93608,0.17462,DCTN4
ENSG00000238236,1,235683269,235683983,51,11,325538,0.93588,0.17467,RP4-534P7.2
ENSG00000237126,2,233445658,233476681,397,66,331748,0.93549,0.17477,AC073254.1
ENSG00000127083,9,95176527,95186743,10,2,327513,0.93541,0.17479,OMD
ENSG00000228380,2,209134067,209134681,5,2,354959,0.93538,0.1748,AC016697.2
ENSG00000258509,14,45356637,45356944,11,2,356354,0.93533,0.17481,RP11-857B24.3
ENSG00000173157,12,43747669,43945724,65,20,319511,0.9353,0.17482,ADAMTS20
ENSG00000225294,1,27312388,27312831,6,3,353564,0.93526,0.17483,OSTCP2
ENSG00000237436,1,6843952,6844903,6,3,356816,0.9351,0.17487,RP11-312B8.1
ENSG00000201527,20,23141494,23141608,13,5,348878,0.93495,0.17491,RNA5SP478
ENSG00000229941,2,178563157,178588017,61,14,314521,0.93481,0.17494,AC012499.1
ENSG00000248690,8,122651533,122656933,16,3,299560,0.93481,0.17494,HAS2-AS1
ENSG00000206910,6,160206626,160206765,9,4,353924,0.93477,0.17495,SNORA29
ENSG00000254075,22,22415489,22415950,24,5,328925,0.93466,0.17498,IGLVV-66
ENSG00000129946,19,416583,460996,132,24,295023,0.93455,0.17501,SHC2
ENSG00000234761,1,202955685,202957710,7,3,354623,0.93454,0.17501,RP11-38O14.5
ENSG00000162804,2,241938255,242034983,317,65,302153,0.9345,0.17502,SNED1
ENSG00000227773,1,155365801,155366769,2,1,354410,0.93451,0.17502,ASH1L-IT1
ENSG00000262001,18,3602998,3608334,23,5,313016,0.93439,0.17505,DLGAP1-AS2
ENSG00000283932,20,22541191,22564899,18,3,339575,0.9344,0.17505,NA
ENSG00000283579,13,27540104,27566133,308,53,323320,0.93421,0.1751,NA
ENSG00000235366,13,46254319,46275319,15,6,350680,0.93418,0.17511,LINC01055
ENSG00000233659,9,35874807,35875191,12,5,350653,0.93414,0.17512,NDUFA5P4
ENSG00000117020,1,243651535,244013430,108,29,331309,0.93409,0.17513,AKT3
ENSG00000273838,20,23439166,23440096,43,12,342405,0.93409,0.17513,NA
ENSG00000173212,1,116654376,116677861,163,41,318434,0.93398,0.17516,MAB21L3
ENSG00000226392,7,67092818,67093006,53,19,340066,0.93394,0.17517,RP4-736H5.1
ENSG00000235204,9,127021529,127023435,9,4,355960,0.9339,0.17518,RP11-121A14.2
ENSG00000241217,12,57064236,57064530,8,3,310349,0.93384,0.17519,RN7SL809P
ENSG00000253371,8,93512811,93522044,17,9,337082,0.93381,0.1752,RP11-587H10.1
ENSG00000113648,5,134669590,134735577,51,14,317869,0.93374,0.17522,H2AFY
ENSG00000111231,12,110890289,110906526,93,17,334259,0.9337,0.17523,GPN3
ENSG00000205497,11,4967389,4968330,13,4,321646,0.93369,0.17523,OR51A4
ENSG00000258734,14,59294397,59294894,5,3,298716,0.93365,0.17524,RP11-112J1.3
ENSG00000196504,2,153508107,153574495,109,19,336673,0.93358,0.17526,PRPF40A
ENSG00000207365,12,93415382,93415488,11,3,328887,0.93349,0.17528,Y_RNA
ENSG00000110244,11,116691416,116694022,42,15,311652,0.93335,0.17532,APOA4
ENSG00000207638,21,17911409,17911489,3,2,289767,0.9331,0.17538,MIR99A
ENSG00000261801,15,74200412,74220589,66,20,329928,0.93313,0.17538,LOXL1-AS1
ENSG00000279288,7,112715179,112717236,35,10,307979,0.9331,0.17538,NA
ENSG00000240087,12,68946775,68947662,7,3,355018,0.93301,0.17541,RP11-254B13.1
ENSG00000182901,1,240938815,241520530,134,26,337586,0.93292,0.17543,RGS7
ENSG00000264564,18,52051804,52051933,76,13,320927,0.93294,0.17543,RP11-61D1.2
ENSG00000271296,5,17614890,17615220,6,2,340020,0.9328,0.17546,RP11-432M8.20
ENSG00000100739,14,96722161,96735304,293,44,279201,0.93276,0.17547,BDKRB1
ENSG00000235459,7,122321369,122321716,9,3,355924,0.93276,0.17547,RPS26P31
ENSG00000211943,14,106610313,106610852,69,17,273077,0.93274,0.17548,IGHV3-15
ENSG00000218596,6,157297428,157298206,14,8,325690,0.93264,0.1755,RP11-2J18.1
ENSG00000179023,1,18807476,18812620,133,30,320511,0.93254,0.17553,KLHDC7A
ENSG00000235833,2,98140412,98141439,2,1,286429,0.93245,0.17555,AC159540.14
ENSG00000224127,1,75593515,75598743,7,3,263202,0.93242,0.17556,RP11-510C10.2
ENSG00000221638,2,75855079,75855293,64,15,322843,0.93232,0.17559,U3
ENSG00000200753,7,20416954,20417024,12,5,356481,0.93222,0.17561,SNORD56
ENSG00000249540,3,141026454,141026775,76,20,312383,0.93216,0.17563,RP11-789L4.1
ENSG00000230609,10,74320022,74320214,5,1,342030,0.9321,0.17564,RP11-167P22.4
ENSG00000132953,13,21351468,21476949,163,31,316659,0.93208,0.17565,XPO4
ENSG00000105341,19,41937223,41945841,13,2,331868,0.93205,0.17566,ATP5SL
ENSG00000227364,2,2733680,2734729,100,30,308912,0.93201,0.17567,AC018685.2
ENSG00000213139,3,186256230,186264491,7,3,356768,0.93194,0.17568,CRYGS
ENSG00000095485,10,101992055,102027437,106,35,315087,0.93176,0.17573,CWF19L1
ENSG00000092098,14,24616096,24629870,18,9,293945,0.93171,0.17574,RNF31
ENSG00000204486,1,13516066,13526943,40,9,325444,0.93163,0.17576,PRAMEF21
ENSG00000119686,14,76044960,76129507,87,20,334101,0.93157,0.17578,FLVCR2
ENSG00000228510,9,131206866,131208907,20,4,316658,0.9314,0.17582,RP11-339B21.8
ENSG00000239625,10,30654962,30655247,11,6,284121,0.9314,0.17582,RN7SL241P
ENSG00000213046,1,197657890,197659757,7,2,312691,0.93137,0.17583,EEF1A1P32
ENSG00000237586,8,125313556,125314045,17,4,318802,0.93133,0.17584,RP11-383J24.2
ENSG00000167968,16,2285817,2288712,6,4,271242,0.93114,0.17589,DNASE1L2
ENSG00000265987,17,73340486,73369743,19,9,312763,0.93092,0.17595,RP11-16C1.3
ENSG00000145864,5,160715436,160975233,146,36,332338,0.93089,0.17596,GABRB2
ENSG00000234611,11,74782193,74783097,3,2,330546,0.93088,0.17596,OR2AT2P
ENSG00000225952,1,23162206,23163342,6,3,343591,0.93081,0.17597,RP11-69E9.1
ENSG00000115677,2,242166679,242255257,32,9,305900,0.93079,0.17598,HDLBP
ENSG00000231278,2,241018850,241019779,134,23,338406,0.93075,0.17599,OR9S24P
ENSG00000168301,3,58477841,58488087,69,18,325843,0.93066,0.17601,KCTD6
ENSG00000127249,3,193119866,193272911,112,31,296372,0.93042,0.17608,ATP13A4
ENSG00000237868,4,122998995,122999473,32,12,310661,0.93029,0.17611,AC097533.1
ENSG00000133661,10,81697496,81708859,28,9,311402,0.93019,0.17614,SFTPD
ENSG00000222955,8,56657791,56657901,6,2,356341,0.93019,0.17614,RNA5SP265
ENSG00000242100,19,30447276,30447895,4,2,268658,0.93016,0.17614,RPL9P32
ENSG00000259533,17,61963211,61963411,74,11,338311,0.93008,0.17616,RP11-630H24.3
ENSG00000231300,21,36972030,36972320,10,3,350536,0.92989,0.17621,EZH2P1
ENSG00000240739,12,8147366,8147680,11,3,341670,0.9299,0.17621,RP11-69M1.1
ENSG00000261113,16,22298029,22300059,8,3,302783,0.92986,0.17622,RP11-141O15.1
ENSG00000270139,21,17789459,17791400,5,2,298527,0.92983,0.17623,AP001172.3
ENSG00000083097,6,83777385,83878438,187,35,332012,0.92978,0.17624,DOPEY1
ENSG00000271612,8,103463991,103464711,8,3,347766,0.92961,0.17629,HSPE1P14
ENSG00000227416,1,38248129,38248557,5,2,353470,0.92939,0.17634,RP11-109P14.2
ENSG00000173327,11,65365226,65381713,31,13,282640,0.92932,0.17636,MAP3K11
ENSG00000137200,6,37400996,37449282,136,31,327789,0.92924,0.17638,CMTR1
ENSG00000172893,11,71145460,71159481,135,16,328808,0.92922,0.17639,DHCR7
ENSG00000229585,4,54852754,54853225,30,7,308423,0.92921,0.17639,RPL21P44
ENSG00000227215,6,83642320,83648396,133,23,338666,0.92919,0.1764,RP11-445L13__B.3
ENSG00000240837,14,71076803,71077094,11,4,323120,0.92911,0.17642,RN7SL77P
ENSG00000237279,1,53409208,53409602,3,2,259136,0.92906,0.17643,RP4-631H13.5
ENSG00000164134,4,140222609,140341187,118,36,323753,0.92897,0.17645,NAA15
ENSG00000222693,9,25088809,25089149,52,16,338524,0.92895,0.17646,RN7SKP120
ENSG00000103168,16,84211453,84220676,46,12,329702,0.92881,0.17649,TAF1C
ENSG00000206590,15,90257463,90257569,8,2,356317,0.92884,0.17649,RNU6-132P
ENSG00000256258,12,132106436,132107748,79,22,309512,0.92882,0.17649,RP11-495K9.9
ENSG00000221175,6,48817560,48817639,54,12,351402,0.92873,0.17651,AL391538.1
ENSG00000253392,19,2915144,2926805,9,3,294770,0.92858,0.17655,AC006277.2
ENSG00000250205,4,156302194,156302391,61,18,310502,0.9284,0.1766,YWHAEP4
ENSG00000270159,16,85826021,85826539,11,3,315991,0.92823,0.17664,RP11-568J23.6
ENSG00000110675,11,107461817,107537505,9,5,345950,0.92817,0.17666,ELMOD1
ENSG00000224451,13,52172552,52173596,9,4,315356,0.92812,0.17667,ATP5F1P1
ENSG00000268401,19,46530912,46533419,33,12,328550,0.92814,0.17667,CTC-344H19.4
ENSG00000275318,9,95603237,95603970,5,3,226240,0.92806,0.17669,NA
ENSG00000235192,2,166651361,166666520,5,3,351515,0.92802,0.1767,AC009495.2
ENSG00000253098,5,40911169,40911230,7,3,355948,0.92801,0.1767,RNU7-161P
ENSG00000108474,17,16120523,16252115,107,27,322528,0.92793,0.17672,PIGL
ENSG00000186940,9,82006219,82006674,49,9,330801,0.9279,0.17673,CHCHD2P9
ENSG00000165383,10,50117528,50122277,57,12,327128,0.92787,0.17674,LRRC18
ENSG00000253237,8,81263367,81263651,7,2,353779,0.92784,0.17675,RP11-775E10.1
ENSG00000257452,12,113345433,113455556,93,26,317761,0.92783,0.17675,RP1-71H24.1
ENSG00000279483,7,137198605,137198679,4,2,337198,0.92776,0.17677,NA
ENSG00000095380,9,100819021,100845357,97,17,295075,0.9276,0.17681,NANS
ENSG00000233329,2,141965651,141965945,12,4,350861,0.92758,0.17681,AC068287.1
ENSG00000163481,2,219528587,219537134,10,2,356393,0.92756,0.17682,RNF25
ENSG00000124126,20,47240790,47444420,1150,121,320804,0.92739,0.17686,PREX1
ENSG00000270718,12,39564448,39564682,2,1,356905,0.92742,0.17686,RP11-421H10.2
ENSG00000223414,6,166322290,166401536,28,14,315513,0.9272,0.17691,LINC00473
ENSG00000224830,1,248102275,248102961,29,7,350088,0.92717,0.17692,OR2X1P
ENSG00000271981,10,22621516,22621910,2,1,146468,0.9271,0.17694,RP11-573G6.8
ENSG00000225672,1,111550322,111558152,83,19,343100,0.92705,0.17695,CCNT2P1
ENSG00000276115,12,32505283,32507078,8,3,331238,0.92706,0.17695,NA
ENSG00000178974,14,55738021,55820327,159,14,267473,0.92688,0.17699,FBXO34
ENSG00000196951,4,141204878,141294535,96,27,284571,0.92687,0.177,RP11-425I13.3
ENSG00000107731,10,72972327,73062621,363,86,322114,0.92678,0.17702,UNC5B
ENSG00000178372,10,5540660,5541518,52,8,342965,0.92654,0.17708,CALML5
ENSG00000259590,15,99935384,99936798,16,4,234467,0.9265,0.17709,RP11-20G13.3
ENSG00000151882,5,43379295,43412493,17,5,255450,0.92643,0.17711,CCL28
ENSG00000281692,6,163731017,163745562,43,19,332094,0.92634,0.17713,NA
ENSG00000233668,9,34223982,34224626,7,3,315527,0.92627,0.17715,RP11-571F15.3
ENSG00000111678,12,7052980,7055165,8,4,256886,0.92601,0.17722,C12orf57
ENSG00000238923,12,7052979,7053041,8,4,256886,0.92601,0.17722,RNU7-1
ENSG00000231900,1,55833139,55834447,12,6,301893,0.92597,0.17723,GOT2P1
ENSG00000268108,19,49563870,49564389,7,3,243053,0.92588,0.17725,CTB-60B18.12
ENSG00000130701,20,60985293,61002589,175,44,303578,0.92587,0.17726,RBBP8NL
ENSG00000234548,3,186158134,186168485,7,2,345812,0.92575,0.17729,RP11-78H24.1
ENSG00000107562,10,44865613,44880545,267,44,305606,0.92565,0.17731,CXCL12
ENSG00000139998,14,65412532,65439132,83,9,330264,0.92557,0.17734,RAB15
ENSG00000237835,22,17336694,17337052,2,1,355169,0.9255,0.17735,AC007064.22
ENSG00000213798,7,25251789,25252584,10,5,238873,0.92511,0.17745,AC004129.9
ENSG00000249263,22,17134782,17140518,10,4,304441,0.92511,0.17745,PARP4P3
ENSG00000105492,19,52022779,52035110,24,9,328618,0.92509,0.17746,SIGLEC6
ENSG00000108932,17,66263167,66287407,118,32,302024,0.92509,0.17746,SLC16A6
ENSG00000180638,17,19581601,19620043,32,12,293303,0.92504,0.17747,SLC47A2
ENSG00000251142,8,58152616,58153100,19,2,353241,0.92507,0.17747,RP11-513O17.1
ENSG00000253955,5,173006646,173012071,140,26,323729,0.92502,0.17748,CTB-33O18.3
ENSG00000280184,6,146110406,146113109,12,3,329704,0.92498,0.17749,NA
ENSG00000201860,3,191358924,191359026,20,2,356326,0.9249,0.17751,Y_RNA
ENSG00000251852,7,103073908,103074008,11,3,350192,0.92486,0.17752,Y_RNA
ENSG00000226276,2,216804031,216806442,13,5,330682,0.92482,0.17753,AC093382.1
ENSG00000235819,9,89029197,89029485,71,24,338575,0.92469,0.17756,RP11-359J6.1
ENSG00000160200,21,44473301,44496488,109,30,309133,0.9246,0.17759,CBS
ENSG00000198650,16,71599563,71611033,15,6,331619,0.92454,0.1776,TAT
ENSG00000253582,8,107532702,107669776,11,5,263613,0.92429,0.17767,RP11-649G15.2
ENSG00000254143,8,40018977,40030131,188,30,332942,0.92428,0.17767,RP11-470M17.2
ENSG00000115966,2,175936978,176032934,22,5,337370,0.92418,0.1777,ATF2
ENSG00000237643,6,71104590,71109120,39,10,265470,0.92416,0.1777,RP11-462G2.1
ENSG00000244662,12,24795621,24796100,4,2,355651,0.92407,0.17772,RP11-615I16.1
ENSG00000232539,21,34430135,34437289,137,31,325376,0.92405,0.17773,LINC00945
ENSG00000280285,4,57528635,57531860,19,6,336909,0.92407,0.17773,NA
ENSG00000258133,12,58788379,58788921,10,3,354461,0.92401,0.17774,RP11-340M11.1
ENSG00000279900,11,82794729,82795180,43,11,346672,0.92403,0.17774,NA
ENSG00000264243,17,45940708,45942556,11,4,348225,0.92396,0.17775,RP11-6N17.1
ENSG00000214954,8,92114873,92231355,34,10,339113,0.92392,0.17776,LRRC69
ENSG00000253557,8,18942502,19116979,270,52,334545,0.92388,0.17777,RP11-1080G15.1
ENSG00000239128,3,47292013,47292116,4,1,355921,0.92386,0.17778,snoU13
ENSG00000257434,12,75414749,75438573,17,7,321872,0.92384,0.17779,RP11-81K13.1
ENSG00000244050,12,8352195,8371507,15,6,262279,0.92377,0.1778,RP11-266K4.1
ENSG00000237675,10,127262940,127267014,3,2,335113,0.92373,0.17781,TEX36-AS1
ENSG00000251260,4,85724411,85731544,3,2,355010,0.92373,0.17781,WDFY3-AS1
ENSG00000078246,12,3000063,3050306,225,66,324419,0.92368,0.17783,TULP3
ENSG00000279036,17,47571585,47575162,14,6,304527,0.92367,0.17783,NA
ENSG00000100522,14,53241912,53258319,43,7,325620,0.9236,0.17785,GNPNAT1
ENSG00000207474,13,25277694,25277803,12,5,346746,0.92351,0.17787,RNY1P7
ENSG00000212538,1,163892907,163893109,13,5,351220,0.92353,0.17787,U3
ENSG00000254321,8,38558144,38562373,44,17,303899,0.92343,0.17789,RP11-495O10.1
ENSG00000254299,5,171984395,171986017,67,19,307284,0.92336,0.17791,CTB-54I1.1
ENSG00000205500,2,27207644,27237480,31,11,312965,0.92331,0.17792,AC013472.3
ENSG00000143578,1,153940379,153946839,5,2,282452,0.92323,0.17794,CREB3L4
ENSG00000107984,10,54074056,54077417,5,2,355421,0.92317,0.17796,DKK1
ENSG00000132517,17,4935895,4955304,27,9,342127,0.92286,0.17804,SLC52A1
ENSG00000254000,8,124936999,124938173,73,17,331949,0.92287,0.17804,RP11-245A18.1
ENSG00000201727,4,179327849,179327984,54,11,344522,0.92281,0.17805,RNA5SP173
ENSG00000204920,19,44488322,44502477,18,5,350003,0.9228,0.17806,ZNF155
ENSG00000110079,11,60048014,60076445,11,3,356159,0.92252,0.17813,MS4A4A
ENSG00000202383,9,1333837,1333953,8,3,331196,0.92241,0.17816,RNA5SP279
ENSG00000205596,7,65535891,65536305,19,5,307988,0.92237,0.17817,RP5-1132H15.2
ENSG00000258557,14,22431047,22431270,5,2,356406,0.92233,0.17818,AE000659.41
ENSG00000270437,2,63310143,63314457,100,26,313776,0.9223,0.17819,RP11-511I11.2
ENSG00000232915,2,139169636,139170888,9,3,355994,0.92215,0.17822,AC097721.1
ENSG00000273674,15,51132072,51200796,208,24,331066,0.92217,0.17822,NA
ENSG00000258711,14,51422977,51428720,151,26,333792,0.92208,0.17824,RP11-218E20.3
ENSG00000136026,12,106631655,106641766,44,13,332176,0.92191,0.17829,CKAP4
ENSG00000271040,6,157744996,157745509,10,4,305892,0.92183,0.17831,RP5-933K21.3
ENSG00000251515,5,39571580,39572741,14,6,327488,0.92177,0.17832,CCDC11P1
ENSG00000255833,5,134779908,134788089,39,9,337841,0.92179,0.17832,TIFAB
ENSG00000136193,7,29959719,30029905,73,12,335930,0.92166,0.17835,SCRN1
ENSG00000234694,1,43820355,43824329,5,3,355185,0.92159,0.17837,RP1-92O14.3
ENSG00000100055,22,37678424,37711386,228,56,323548,0.92154,0.17838,CYTH4
ENSG00000112096,6,160090089,160183561,378,39,324535,0.92153,0.17839,SOD2
ENSG00000169609,15,83657715,83680393,85,22,298571,0.92149,0.1784,C15orf40
ENSG00000219757,6,102901242,102901667,6,2,304144,0.92138,0.17843,RP11-793L10.1
ENSG00000226465,20,25731854,25733397,14,6,307669,0.92135,0.17843,RP13-401N8.1
ENSG00000169032,15,66679155,66784650,212,45,337161,0.92124,0.17846,MAP2K1
ENSG00000145192,3,186330712,186339107,35,13,352982,0.9211,0.1785,AHSG
ENSG00000204671,12,122656577,122658746,14,5,350638,0.92102,0.17852,IL31
ENSG00000243438,7,105955671,105956189,12,5,344925,0.92093,0.17854,LARP1BP2
ENSG00000132846,5,76367897,76383148,252,41,329390,0.9209,0.17855,ZBED3
ENSG00000137942,1,93913688,94020218,109,30,316973,0.92091,0.17855,FNBP1L
ENSG00000236299,7,63348578,63361172,251,36,322415,0.92091,0.17855,RP11-340I6.7
ENSG00000104880,19,7459999,7537363,112,27,317118,0.92085,0.17856,ARHGEF18
ENSG00000184394,14,20611895,20612821,4,2,356355,0.92074,0.17859,OR4N5
ENSG00000100290,22,43506754,43525718,60,12,337092,0.9207,0.1786,BIK
ENSG00000281344,12,102591363,102796374,508,50,314184,0.92061,0.17863,NA
ENSG00000230439,1,94218480,94241000,38,4,356719,0.92056,0.17864,RP11-488P3.1
ENSG00000226721,9,95599108,95599950,9,4,355070,0.92051,0.17865,EEF1DP2
ENSG00000264078,1,32110295,32114972,10,3,319228,0.92051,0.17865,RP11-73M7.9
ENSG00000153989,6,117996665,118031803,76,16,314944,0.9204,0.17868,NUS1
ENSG00000238270,1,189837131,189837658,13,4,329792,0.92032,0.1787,RP11-445J9.1
ENSG00000252881,5,104115989,104116090,18,6,350915,0.9203,0.17871,RNU6-334P
ENSG00000254500,11,74363681,74363956,12,4,350988,0.92027,0.17872,RANP3
ENSG00000229656,10,33247773,33371030,40,11,330036,0.92014,0.17875,RP11-462L8.1
ENSG00000221048,7,97535284,97535431,109,27,320578,0.92007,0.17877,AC079781.1
ENSG00000228045,22,17997708,17998061,12,4,215515,0.92005,0.17877,DNAJA1P6
ENSG00000018869,19,56894121,56904914,7,3,334438,0.92003,0.17878,ZNF582
ENSG00000131015,6,150263136,150270371,515,78,307074,0.91996,0.1788,ULBP2
ENSG00000266128,6,164261593,164261882,12,5,318378,0.9199,0.17881,RN7SL366P
ENSG00000149792,11,64889783,64894843,39,16,304136,0.91989,0.17882,MRPL49
ENSG00000214812,1,28446960,28447832,4,1,336835,0.9198,0.17884,RP5-1053E7.3
ENSG00000270775,11,64792862,64793987,10,3,292703,0.91972,0.17886,AP000436.4
ENSG00000256847,11,63010557,63011476,5,2,298220,0.91969,0.17887,CCND2P1
ENSG00000157999,7,6071007,6076017,23,7,341224,0.91966,0.17888,ANKRD61
ENSG00000070882,7,24836158,25019807,333,67,330433,0.91962,0.17889,OSBPL3
ENSG00000164591,5,150040436,150058927,104,14,342072,0.91961,0.17889,MYOZ3
ENSG00000272896,9,139685831,139695047,19,4,308175,0.91949,0.17892,RP11-216L13.17
ENSG00000163219,2,68961967,69053965,101,27,338718,0.91937,0.17895,ARHGAP25
ENSG00000144724,3,61547585,62283288,567,102,314110,0.91934,0.17896,PTPRG
ENSG00000242147,10,5636954,5638081,32,10,317270,0.91928,0.17897,RP13-463N16.6
ENSG00000207156,3,146714394,146714500,37,14,351776,0.91918,0.179,RNU6-505P
ENSG00000229618,7,12765777,13791545,335,57,318808,0.91918,0.179,AC011288.2
ENSG00000227875,1,12140350,12140604,8,2,323493,0.91915,0.17901,RP11-426M1.2
ENSG00000143374,1,150459840,150480085,36,11,320615,0.91911,0.17902,TARS2
ENSG00000113070,5,139712428,139726216,34,7,336723,0.91906,0.17903,HBEGF
ENSG00000284461,7,66204962,66276446,12,4,350707,0.91895,0.17906,NA
ENSG00000274403,15,43018781,43019409,10,3,305344,0.91884,0.17909,NA
ENSG00000258317,12,56513817,56523403,3,2,331954,0.91864,0.17914,RP11-603J24.5
ENSG00000270933,7,25988277,25989023,7,2,356433,0.91857,0.17916,CTD-2227E11.1
ENSG00000199855,10,27377250,27377356,12,4,356781,0.91853,0.17917,RNU6-490P
ENSG00000258964,14,62200856,62242978,8,3,310246,0.91846,0.17919,RP11-618G20.1
ENSG00000252131,1,231124735,231124869,1,1,356866,0.91842,0.1792,AL844165.1
ENSG00000197562,16,639357,679272,208,49,287977,0.91838,0.17921,RAB40C
ENSG00000225991,2,28531028,28531437,6,2,356190,0.91834,0.17922,RP11-731I19.1
ENSG00000261053,16,34320267,34320490,4,2,231788,0.91831,0.17923,CTD-2144E22.2
ENSG00000110243,11,116660083,116663136,206,31,338450,0.91807,0.17929,APOA5
ENSG00000196415,19,840960,848175,47,7,278720,0.91807,0.17929,PRTN3
ENSG00000202147,11,6038226,6038344,211,62,323804,0.91808,0.17929,RNA5SP329
ENSG00000237136,4,146601267,146653946,122,37,298290,0.91806,0.17929,C4orf51
ENSG00000106080,7,30050203,30066300,23,6,348663,0.91801,0.17931,FKBP14
ENSG00000257771,12,50305736,50324103,70,20,307051,0.91796,0.17932,RP11-70F11.8
ENSG00000259164,14,77564654,77691805,3,2,355623,0.91793,0.17933,RP11-463C8.4
ENSG00000253159,5,140810156,140892546,58,15,319349,0.91788,0.17934,PCDHGA12
ENSG00000265803,6,158596016,158596102,172,52,329872,0.9178,0.17936,AL590703.1
ENSG00000240940,10,64109768,64110048,20,8,355959,0.91779,0.17937,RN7SL591P
ENSG00000072682,5,131527531,131563775,102,18,282198,0.91769,0.17939,P4HA2
ENSG00000257384,12,56126150,56126432,5,3,329467,0.91769,0.17939,RP11-644F5.12
ENSG00000163870,3,127291912,127309931,172,22,329589,0.91765,0.1794,TPRA1
ENSG00000187080,1,248128535,248129688,136,22,303396,0.91767,0.1794,OR2AK2
ENSG00000204856,12,110906169,110928190,26,6,309007,0.91755,0.17943,FAM216A
ENSG00000255374,12,11243886,11244912,73,11,310623,0.91755,0.17943,TAS2R43
ENSG00000152092,1,176826438,177134003,268,60,334851,0.91748,0.17945,ASTN1
ENSG00000159224,17,47035916,47045958,53,14,342398,0.91744,0.17946,GIP
ENSG00000174282,17,7362685,7387582,54,14,326452,0.91744,0.17946,ZBTB4
ENSG00000277795,5,140638803,140640932,9,4,339189,0.91741,0.17946,NA
ENSG00000201466,18,12760716,12760817,45,10,339164,0.91739,0.17947,Y_RNA
